Title,Location,Km,Body,Seats,Fuel,Engine,Transmission,Colour,Number of owners,Import,Wof,Reg,Final bid,Result,Link
 2003 Suzuki Jimny   Sierra ,"Gore, Southland ","   261,817km ",   RV/SUV ,   4 ,   Petrol ,,   Automatic ,    Silver ,, :   NZ New ,    Dec 2021 ,    Apr 2022 ,"$6,000", No reserve ,https://www.trademe.co.nz/a/motors/cars/suzuki/jimny/listing/3284755456?rsqid=4a9589952e0f4896a259efe7b3d166f2-001
 2013 Jeep Grand Cherokee   Srt8 ,"Manukau, Auckland ","   127,000km ",   RV/SUV ,   5 ,   Petrol ,,   Automatic ,    Grey ,, :   NZ New ,    This month ,    Expired ,"$48,500", No reserve ,https://www.trademe.co.nz/a/motors/cars/jeep/grand-cherokee/listing/3284861132?rsqid=4a9589952e0f4896a259efe7b3d166f2-001
 2011 Mazda CX-7   Gsx ,"North Shore, Auckland ","   200,500km ",   RV/SUV ,   5 ,   Petrol ,,   Automatic ,    Black ,    3 owners , :   NZ New ,    This month ,    This month ,"$7,800", Reserve not met ,https://www.trademe.co.nz/a/motors/cars/mazda/cx-7/listing/3231651059?rsqid=4a9589952e0f4896a259efe7b3d166f2-001
 2000 Rover Other   Range rover  ,"Christchurch City, Canterbury ","   193,000km ",   RV/SUV ,   5 ,   Petrol ,,   Automatic ,    Red ,, :   Imported ,    Sep 2022 ,    Jul 2022 ,"$7,500", No reserve ,https://www.trademe.co.nz/a/motors/cars/rover/other/listing/3291245084?rsqid=4a9589952e0f4896a259efe7b3d166f2-001
 2009 BMW M3   E93 Convertible ,"North Shore, Auckland ","   113,000km ",   Convertible ,   4 ,   Petrol ,,   Tiptronic ,    White ,    2 owners , :   Imported ,    Apr 2022 ,    Apr 2022 ,"$36,980", No reserve ,https://www.trademe.co.nz/a/motors/cars/bmw/m3/listing/3293350976?rsqid=4a9589952e0f4896a259efe7b3d166f2-001
 2012 Toyota Highlander   Ltd ,"Upper Hutt City, Wellington ","   95,113km ",   RV/SUV ,   7 ,   Petrol ,,   Automatic ,    Red ,    3 owners , :   NZ New ,    Feb 2022 ,    Feb 2022 ,"$25,000", Reserve not met ,https://www.trademe.co.nz/a/motors/cars/toyota/highlander/listing/3299237314?rsqid=4a9589952e0f4896a259efe7b3d166f2-001
 2008 Audi A4   Avant 1.8 Tfsi ,"Kapiti, Wellington ","   125,000km ",   Station Wagon ,   5 ,   Petrol ,,   Automatic ,    Black ,    1 owner , :   Imported ,    Mar 2022 ,    This month ,"$8,000", Reserve not met ,https://www.trademe.co.nz/a/motors/cars/audi/a4/listing/3287701766?rsqid=4a9589952e0f4896a259efe7b3d166f2-001
 2001 Toyota Corolla   Runx Z ,"Christchurch City, Canterbury ","   124,000km ",   Hatchback ,   5 ,   Petrol ,,   Automatic ,    White ,    2 owners , :   Imported ,    Feb 2022 ,    Jul 2022 ,"$5,500", Reserve not met ,https://www.trademe.co.nz/a/motors/cars/toyota/corolla/listing/3275999336?rsqid=4a9589952e0f4896a259efe7b3d166f2-001
 2010 Holden Colorado   Lt Crw Pu Dsl ,"Waitakere, Auckland ","   284,000km ",   Ute ,   5 ,   Diesel ,,   Manual ,    White ,    2 owners , :   NZ New ,    Nov 2021 ,    Jul 2022 ,"$13,000", No reserve ,https://www.trademe.co.nz/a/motors/cars/holden/colorado/listing/3291004980?rsqid=4a9589952e0f4896a259efe7b3d166f2-001
 1957 Dodge Other   Coronet ,"Waitakere, Auckland ","   999,999km ",   Sedan ,   6 ,   Petrol ,,,    Grey ,, :   Imported ,,,"$12,999", No reserve ,https://www.trademe.co.nz/a/motors/cars/dodge/other/listing/3268819247?rsqid=4a9589952e0f4896a259efe7b3d166f2-001
 2008 Ford Mustang ,"North Shore, Auckland ","   91,000km ",   Convertible ,,   Petrol ,,   Automatic ,    White ,    1 owner , :   Imported ,    Feb 2022 ,    Apr 2022 ,"$32,000", No reserve ,https://www.trademe.co.nz/a/motors/cars/ford/mustang/listing/3284198587?rsqid=4a9589952e0f4896a259efe7b3d166f2-001
 2015 Toyota Vellfire ,"Dunedin, Otago ","   48,000km ",   Station Wagon ,   8 ,   Petrol ,,   Automatic ,    White ,    3 owners , :   Imported ,    Mar 2022 ,    Nov 2021 ,"$35,000", Reserve not met ,https://www.trademe.co.nz/a/motors/cars/toyota/vellfire/listing/3284649292?rsqid=4a9589952e0f4896a259efe7b3d166f2-001
 2004 Peugeot 307 ,"Taupo, Waikato ","   201,314km ",   Sedan ,   4 ,   Petrol ,,   Automatic ,    Metalic Blue ,    2 owners , :   Imported ,    Sep 2022 ,    Dec 2021 ,"$2,910", Reserve met ,https://www.trademe.co.nz/a/motors/cars/peugeot/307/listing/3284785463?rsqid=e84c9c468d1d4bfd8cd252a2155f0415-001
 2013 BMW X5   35D Diesel Low KMs ,"North Shore, Auckland ","   53,500km ",   Station Wagon ,   5 ,   Diesel ,,   Automatic ,    Black ,    1 owner , :   Imported ,    Oct 2022 ,    Dec 2021 ,"$22,000", Reserve not met ,https://www.trademe.co.nz/a/motors/cars/bmw/x5/listing/3296295507?rsqid=e84c9c468d1d4bfd8cd252a2155f0415-001
 2013 Nissan NV350   Caravan ,"Mangere, Auckland ","   219,000km ",   Van ,   3 ,   Petrol ,,,    White ,    1 owner , :   Imported ,    Aug 2022 ,    Expired ,"$12,500", Reserve not met ,https://www.trademe.co.nz/a/motors/cars/nissan/nv350/listing/3284319620?rsqid=e84c9c468d1d4bfd8cd252a2155f0415-001
 2012 Toyota Previa ,"Mangere, Auckland ","   267,000km ",   RV/SUV ,   8 ,   Petrol ,,   Automatic ,    Silver ,    4 owners , :   NZ New ,    May 2022 ,    Expired ,"$4,000", Reserve not met ,https://www.trademe.co.nz/a/motors/cars/toyota/previa/listing/3284324885?rsqid=e84c9c468d1d4bfd8cd252a2155f0415-001
 2012 Ssangyong Korando ,"Auckland City, Auckland ","   117,000km ",   RV/SUV ,   5 ,   Diesel ,,   Automatic ,    Silver ,    1 owner , :   NZ New ,    Aug 2022 ,    Jul 2022 ,"$9,000", Reserve not met ,https://www.trademe.co.nz/a/motors/cars/ssangyong/korando/listing/3284783202?rsqid=e84c9c468d1d4bfd8cd252a2155f0415-001
 2007 Nissan March   12SR ,"Auckland City, Auckland ","   147,601km ",   Hatchback ,   5 ,   Petrol ,,   Manual ,    Silver ,    2 owners , :   Imported ,    Feb 2022 ,    Jan 2022 ,"$6,600", No reserve ,https://www.trademe.co.nz/a/motors/cars/nissan/march/listing/3284794603?rsqid=e84c9c468d1d4bfd8cd252a2155f0415-001
 2005 Subaru Legacy ,"Golden Bay, Nelson Bays ","   188,266km ",   Sedan ,,   Petrol ,,   Automatic ,    Silver ,    3 owners , :   Imported ,    Dec 2021 ,    Jun 2022 ,"$4,400", Reserve not met ,https://www.trademe.co.nz/a/motors/cars/subaru/legacy/listing/3284837382?rsqid=e84c9c468d1d4bfd8cd252a2155f0415-001
 1973 Daimler Other   Double Six Vanden Plas ,"Papakura, Auckland ","   103,922km ",   Sedan ,   5 ,   Petrol ,,   Automatic ,    Coral Pink ,, :   Imported ,    Expired ,,"$6,250", Reserve not met ,https://www.trademe.co.nz/a/motors/cars/daimler/other/listing/3284845687?rsqid=e84c9c468d1d4bfd8cd252a2155f0415-001
 2005 Toyota Estima   Aeres L Premium  ,"Christchurch City, Canterbury ","   149,500km ",   RV/SUV ,   7 ,   Petrol ,,   Automatic ,    Silver ,    2 owners , :   Imported ,    Mar 2022 ,    Nov 2021 ,"$6,495", No reserve ,https://www.trademe.co.nz/a/motors/cars/toyota/estima/listing/3284858478?rsqid=e84c9c468d1d4bfd8cd252a2155f0415-001
 2003 Suzuki Jimny   Sierra ,"Gore, Southland ","   261,817km ",   RV/SUV ,   4 ,   Petrol ,,   Automatic ,    Silver ,, :   NZ New ,    Dec 2021 ,    Apr 2022 ,"$6,000", No reserve ,https://www.trademe.co.nz/a/motors/cars/suzuki/jimny/listing/3284755456?rsqid=e84c9c468d1d4bfd8cd252a2155f0415-001
 2013 Jeep Grand Cherokee   Srt8 ,"Manukau, Auckland ","   127,000km ",   RV/SUV ,   5 ,   Petrol ,,   Automatic ,    Grey ,, :   NZ New ,    This month ,    Expired ,"$48,500", No reserve ,https://www.trademe.co.nz/a/motors/cars/jeep/grand-cherokee/listing/3284861132?rsqid=e84c9c468d1d4bfd8cd252a2155f0415-001
 2011 Mazda CX-7   Gsx ,"North Shore, Auckland ","   200,500km ",   RV/SUV ,   5 ,   Petrol ,,   Automatic ,    Black ,    3 owners , :   NZ New ,    This month ,    This month ,"$7,800", Reserve not met ,https://www.trademe.co.nz/a/motors/cars/mazda/cx-7/listing/3231651059?rsqid=e84c9c468d1d4bfd8cd252a2155f0415-001
 2000 Rover Other   Range rover  ,"Christchurch City, Canterbury ","   193,000km ",   RV/SUV ,   5 ,   Petrol ,,   Automatic ,    Red ,, :   Imported ,    Sep 2022 ,    Jul 2022 ,"$7,500", No reserve ,https://www.trademe.co.nz/a/motors/cars/rover/other/listing/3291245084?rsqid=e84c9c468d1d4bfd8cd252a2155f0415-001
 2009 BMW M3   E93 Convertible ,"North Shore, Auckland ","   113,000km ",   Convertible ,   4 ,   Petrol ,,   Tiptronic ,    White ,    2 owners , :   Imported ,    Apr 2022 ,    Apr 2022 ,"$36,980", No reserve ,https://www.trademe.co.nz/a/motors/cars/bmw/m3/listing/3293350976?rsqid=e84c9c468d1d4bfd8cd252a2155f0415-001
 2012 Toyota Highlander   Ltd ,"Upper Hutt City, Wellington ","   95,113km ",   RV/SUV ,   7 ,   Petrol ,,   Automatic ,    Red ,    3 owners , :   NZ New ,    Feb 2022 ,    Feb 2022 ,"$25,000", Reserve not met ,https://www.trademe.co.nz/a/motors/cars/toyota/highlander/listing/3299237314?rsqid=e84c9c468d1d4bfd8cd252a2155f0415-001
 2008 Audi A4   Avant 1.8 Tfsi ,"Kapiti, Wellington ","   125,000km ",   Station Wagon ,   5 ,   Petrol ,,   Automatic ,    Black ,    1 owner , :   Imported ,    Mar 2022 ,    This month ,"$8,000", Reserve not met ,https://www.trademe.co.nz/a/motors/cars/audi/a4/listing/3287701766?rsqid=e84c9c468d1d4bfd8cd252a2155f0415-001
 2001 Toyota Corolla   Runx Z ,"Christchurch City, Canterbury ","   124,000km ",   Hatchback ,   5 ,   Petrol ,,   Automatic ,    White ,    2 owners , :   Imported ,    Feb 2022 ,    Jul 2022 ,"$5,500", Reserve not met ,https://www.trademe.co.nz/a/motors/cars/toyota/corolla/listing/3275999336?rsqid=e84c9c468d1d4bfd8cd252a2155f0415-001
 2010 Holden Colorado   Lt Crw Pu Dsl ,"Waitakere, Auckland ","   284,000km ",   Ute ,   5 ,   Diesel ,,   Manual ,    White ,    2 owners , :   NZ New ,    Nov 2021 ,    Jul 2022 ,"$13,000", No reserve ,https://www.trademe.co.nz/a/motors/cars/holden/colorado/listing/3291004980?rsqid=e84c9c468d1d4bfd8cd252a2155f0415-001
 1957 Dodge Other   Coronet ,"Waitakere, Auckland ","   999,999km ",   Sedan ,   6 ,   Petrol ,,,    Grey ,, :   Imported ,,,"$12,999", No reserve ,https://www.trademe.co.nz/a/motors/cars/dodge/other/listing/3268819247?rsqid=e84c9c468d1d4bfd8cd252a2155f0415-001
 2008 Ford Mustang ,"North Shore, Auckland ","   91,000km ",   Convertible ,,   Petrol ,,   Automatic ,    White ,    1 owner , :   Imported ,    Feb 2022 ,    Apr 2022 ,"$32,000", No reserve ,https://www.trademe.co.nz/a/motors/cars/ford/mustang/listing/3284198587?rsqid=e84c9c468d1d4bfd8cd252a2155f0415-001
 2015 Toyota Vellfire ,"Dunedin, Otago ","   48,000km ",   Station Wagon ,   8 ,   Petrol ,,   Automatic ,    White ,    3 owners , :   Imported ,    Mar 2022 ,    Nov 2021 ,"$35,000", Reserve not met ,https://www.trademe.co.nz/a/motors/cars/toyota/vellfire/listing/3284649292?rsqid=e84c9c468d1d4bfd8cd252a2155f0415-001
 2013 BMW X5   35D Diesel Low KMs ,"North Shore, Auckland ","   53,500km ",   Station Wagon ,   5 ,   Diesel ,,   Automatic ,    Black ,    1 owner , :   Imported ,    Oct 2022 ,    Dec 2021 ,"$24,000", Reserve met ,https://www.trademe.co.nz/a/motors/cars/bmw/x5/listing/3296295507?rsqid=b8502aac366f40c3a308dfb2fd7f00a3-001
 2013 Nissan NV350   Caravan ,"Mangere, Auckland ","   219,000km ",   Van ,   3 ,   Petrol ,,,    White ,    1 owner , :   Imported ,    Aug 2022 ,    Expired ,"$12,550", Reserve not met ,https://www.trademe.co.nz/a/motors/cars/nissan/nv350/listing/3284319620?rsqid=b8502aac366f40c3a308dfb2fd7f00a3-001
 2012 Toyota Previa ,"Mangere, Auckland ","   267,000km ",   RV/SUV ,   8 ,   Petrol ,,   Automatic ,    Silver ,    4 owners , :   NZ New ,    May 2022 ,    Expired ,"$4,000", Reserve not met ,https://www.trademe.co.nz/a/motors/cars/toyota/previa/listing/3284324885?rsqid=b8502aac366f40c3a308dfb2fd7f00a3-001
 2012 Ssangyong Korando ,"Auckland City, Auckland ","   117,000km ",   RV/SUV ,   5 ,   Diesel ,,   Automatic ,    Silver ,    1 owner , :   NZ New ,    Aug 2022 ,    Jul 2022 ,"$9,000", Reserve not met ,https://www.trademe.co.nz/a/motors/cars/ssangyong/korando/listing/3284783202?rsqid=b8502aac366f40c3a308dfb2fd7f00a3-001
 2007 Nissan March   12SR ,"Auckland City, Auckland ","   147,601km ",   Hatchback ,   5 ,   Petrol ,,   Manual ,    Silver ,    2 owners , :   Imported ,    Feb 2022 ,    Jan 2022 ,"$6,600", No reserve ,https://www.trademe.co.nz/a/motors/cars/nissan/march/listing/3284794603?rsqid=b8502aac366f40c3a308dfb2fd7f00a3-001
 2005 Subaru Legacy ,"Golden Bay, Nelson Bays ","   188,266km ",   Sedan ,,   Petrol ,,   Automatic ,    Silver ,    3 owners , :   Imported ,    Dec 2021 ,    Jun 2022 ,"$4,400", Reserve not met ,https://www.trademe.co.nz/a/motors/cars/subaru/legacy/listing/3284837382?rsqid=b8502aac366f40c3a308dfb2fd7f00a3-001
 1973 Daimler Other   Double Six Vanden Plas ,"Papakura, Auckland ","   103,922km ",   Sedan ,   5 ,   Petrol ,,   Automatic ,    Coral Pink ,, :   Imported ,    Expired ,,"$6,250", Reserve not met ,https://www.trademe.co.nz/a/motors/cars/daimler/other/listing/3284845687?rsqid=b8502aac366f40c3a308dfb2fd7f00a3-001
 2005 Toyota Estima   Aeres L Premium  ,"Christchurch City, Canterbury ","   149,500km ",   RV/SUV ,   7 ,   Petrol ,,   Automatic ,    Silver ,    2 owners , :   Imported ,    Mar 2022 ,    Nov 2021 ,"$6,495", No reserve ,https://www.trademe.co.nz/a/motors/cars/toyota/estima/listing/3284858478?rsqid=b8502aac366f40c3a308dfb2fd7f00a3-001
 2003 Suzuki Jimny   Sierra ,"Gore, Southland ","   261,817km ",   RV/SUV ,   4 ,   Petrol ,,   Automatic ,    Silver ,, :   NZ New ,    Dec 2021 ,    Apr 2022 ,"$6,000", No reserve ,https://www.trademe.co.nz/a/motors/cars/suzuki/jimny/listing/3284755456?rsqid=b8502aac366f40c3a308dfb2fd7f00a3-001
 2013 Jeep Grand Cherokee   Srt8 ,"Manukau, Auckland ","   127,000km ",   RV/SUV ,   5 ,   Petrol ,,   Automatic ,    Grey ,, :   NZ New ,    This month ,    Expired ,"$48,500", No reserve ,https://www.trademe.co.nz/a/motors/cars/jeep/grand-cherokee/listing/3284861132?rsqid=b8502aac366f40c3a308dfb2fd7f00a3-001
 2011 Mazda CX-7   Gsx ,"North Shore, Auckland ","   200,500km ",   RV/SUV ,   5 ,   Petrol ,,   Automatic ,    Black ,    3 owners , :   NZ New ,    This month ,    This month ,"$7,800", Reserve not met ,https://www.trademe.co.nz/a/motors/cars/mazda/cx-7/listing/3231651059?rsqid=b8502aac366f40c3a308dfb2fd7f00a3-001
 2000 Rover Other   Range rover  ,"Christchurch City, Canterbury ","   193,000km ",   RV/SUV ,   5 ,   Petrol ,,   Automatic ,    Red ,, :   Imported ,    Sep 2022 ,    Jul 2022 ,"$7,500", No reserve ,https://www.trademe.co.nz/a/motors/cars/rover/other/listing/3291245084?rsqid=b8502aac366f40c3a308dfb2fd7f00a3-001
 2009 BMW M3   E93 Convertible ,"North Shore, Auckland ","   113,000km ",   Convertible ,   4 ,   Petrol ,,   Tiptronic ,    White ,    2 owners , :   Imported ,    Apr 2022 ,    Apr 2022 ,"$36,980", No reserve ,https://www.trademe.co.nz/a/motors/cars/bmw/m3/listing/3293350976?rsqid=b8502aac366f40c3a308dfb2fd7f00a3-001
 2012 Toyota Highlander   Ltd ,"Upper Hutt City, Wellington ","   95,113km ",   RV/SUV ,   7 ,   Petrol ,,   Automatic ,    Red ,    3 owners , :   NZ New ,    Feb 2022 ,    Feb 2022 ,"$25,000", Reserve not met ,https://www.trademe.co.nz/a/motors/cars/toyota/highlander/listing/3299237314?rsqid=b8502aac366f40c3a308dfb2fd7f00a3-001
 2008 Audi A4   Avant 1.8 Tfsi ,"Kapiti, Wellington ","   125,000km ",   Station Wagon ,   5 ,   Petrol ,,   Automatic ,    Black ,    1 owner , :   Imported ,    Mar 2022 ,    This month ,"$8,000", Reserve not met ,https://www.trademe.co.nz/a/motors/cars/audi/a4/listing/3287701766?rsqid=b8502aac366f40c3a308dfb2fd7f00a3-001
 2001 Toyota Corolla   Runx Z ,"Christchurch City, Canterbury ","   124,000km ",   Hatchback ,   5 ,   Petrol ,,   Automatic ,    White ,    2 owners , :   Imported ,    Feb 2022 ,    Jul 2022 ,"$5,500", Reserve not met ,https://www.trademe.co.nz/a/motors/cars/toyota/corolla/listing/3275999336?rsqid=b8502aac366f40c3a308dfb2fd7f00a3-001
 2010 Holden Colorado   Lt Crw Pu Dsl ,"Waitakere, Auckland ","   284,000km ",   Ute ,   5 ,   Diesel ,,   Manual ,    White ,    2 owners , :   NZ New ,    Nov 2021 ,    Jul 2022 ,"$13,000", No reserve ,https://www.trademe.co.nz/a/motors/cars/holden/colorado/listing/3291004980?rsqid=b8502aac366f40c3a308dfb2fd7f00a3-001
 1957 Dodge Other   Coronet ,"Waitakere, Auckland ","   999,999km ",   Sedan ,   6 ,   Petrol ,,,    Grey ,, :   Imported ,,,"$12,999", No reserve ,https://www.trademe.co.nz/a/motors/cars/dodge/other/listing/3268819247?rsqid=b8502aac366f40c3a308dfb2fd7f00a3-001
 2008 Ford Mustang ,"North Shore, Auckland ","   91,000km ",   Convertible ,,   Petrol ,,   Automatic ,    White ,    1 owner , :   Imported ,    Feb 2022 ,    Apr 2022 ,"$32,000", No reserve ,https://www.trademe.co.nz/a/motors/cars/ford/mustang/listing/3284198587?rsqid=b8502aac366f40c3a308dfb2fd7f00a3-001
 2015 Toyota Vellfire ,"Dunedin, Otago ","   48,000km ",   Station Wagon ,   8 ,   Petrol ,,   Automatic ,    White ,    3 owners , :   Imported ,    Mar 2022 ,    Nov 2021 ,"$35,000", Reserve not met ,https://www.trademe.co.nz/a/motors/cars/toyota/vellfire/listing/3284649292?rsqid=b8502aac366f40c3a308dfb2fd7f00a3-001
 1999 Ford Mondeo ,"Masterton, Wairarapa ","   159,000km ",   Sedan ,   5 ,   Petrol ,,   Manual ,    Blue ,,,,,$500.00, No reserve ,https://www.trademe.co.nz/a/motors/cars/ford/mondeo/listing/3284915461?rsqid=b8502aac366f40c3a308dfb2fd7f00a3-001
 2013 BMW X5   35D Diesel Low KMs ,"North Shore, Auckland ","   53,500km ",   Station Wagon ,   5 ,   Diesel ,,   Automatic ,    Black ,    1 owner , :   Imported ,    Oct 2022 ,    Dec 2021 ,"$24,000", Reserve met ,https://www.trademe.co.nz/a/motors/cars/bmw/x5/listing/3296295507?rsqid=549c23b02fda4972bdc93a09cf4bcfa8-001
 2013 Nissan NV350   Caravan ,"Mangere, Auckland ","   219,000km ",   Van ,   3 ,   Petrol ,,,    White ,    1 owner , :   Imported ,    Aug 2022 ,    Expired ,"$12,550", Reserve not met ,https://www.trademe.co.nz/a/motors/cars/nissan/nv350/listing/3284319620?rsqid=549c23b02fda4972bdc93a09cf4bcfa8-001
 2012 Toyota Previa ,"Mangere, Auckland ","   267,000km ",   RV/SUV ,   8 ,   Petrol ,,   Automatic ,    Silver ,    4 owners , :   NZ New ,    May 2022 ,    Expired ,"$4,000", Reserve not met ,https://www.trademe.co.nz/a/motors/cars/toyota/previa/listing/3284324885?rsqid=549c23b02fda4972bdc93a09cf4bcfa8-001
 2012 Ssangyong Korando ,"Auckland City, Auckland ","   117,000km ",   RV/SUV ,   5 ,   Diesel ,,   Automatic ,    Silver ,    1 owner , :   NZ New ,    Aug 2022 ,    Jul 2022 ,"$9,000", Reserve not met ,https://www.trademe.co.nz/a/motors/cars/ssangyong/korando/listing/3284783202?rsqid=549c23b02fda4972bdc93a09cf4bcfa8-001
 2007 Nissan March   12SR ,"Auckland City, Auckland ","   147,601km ",   Hatchback ,   5 ,   Petrol ,,   Manual ,    Silver ,    2 owners , :   Imported ,    Feb 2022 ,    Jan 2022 ,"$6,600", No reserve ,https://www.trademe.co.nz/a/motors/cars/nissan/march/listing/3284794603?rsqid=549c23b02fda4972bdc93a09cf4bcfa8-001
 2005 Subaru Legacy ,"Golden Bay, Nelson Bays ","   188,266km ",   Sedan ,,   Petrol ,,   Automatic ,    Silver ,    3 owners , :   Imported ,    Dec 2021 ,    Jun 2022 ,"$4,400", Reserve not met ,https://www.trademe.co.nz/a/motors/cars/subaru/legacy/listing/3284837382?rsqid=549c23b02fda4972bdc93a09cf4bcfa8-001
 1973 Daimler Other   Double Six Vanden Plas ,"Papakura, Auckland ","   103,922km ",   Sedan ,   5 ,   Petrol ,,   Automatic ,    Coral Pink ,, :   Imported ,    Expired ,,"$6,250", Reserve not met ,https://www.trademe.co.nz/a/motors/cars/daimler/other/listing/3284845687?rsqid=549c23b02fda4972bdc93a09cf4bcfa8-001
 2005 Toyota Estima   Aeres L Premium  ,"Christchurch City, Canterbury ","   149,500km ",   RV/SUV ,   7 ,   Petrol ,,   Automatic ,    Silver ,    2 owners , :   Imported ,    Mar 2022 ,    Nov 2021 ,"$6,495", No reserve ,https://www.trademe.co.nz/a/motors/cars/toyota/estima/listing/3284858478?rsqid=549c23b02fda4972bdc93a09cf4bcfa8-001
 2003 Suzuki Jimny   Sierra ,"Gore, Southland ","   261,817km ",   RV/SUV ,   4 ,   Petrol ,,   Automatic ,    Silver ,, :   NZ New ,    Dec 2021 ,    Apr 2022 ,"$6,000", No reserve ,https://www.trademe.co.nz/a/motors/cars/suzuki/jimny/listing/3284755456?rsqid=549c23b02fda4972bdc93a09cf4bcfa8-001
 2013 Jeep Grand Cherokee   Srt8 ,"Manukau, Auckland ","   127,000km ",   RV/SUV ,   5 ,   Petrol ,,   Automatic ,    Grey ,, :   NZ New ,    This month ,    Expired ,"$48,500", No reserve ,https://www.trademe.co.nz/a/motors/cars/jeep/grand-cherokee/listing/3284861132?rsqid=549c23b02fda4972bdc93a09cf4bcfa8-001
 2011 Mazda CX-7   Gsx ,"North Shore, Auckland ","   200,500km ",   RV/SUV ,   5 ,   Petrol ,,   Automatic ,    Black ,    3 owners , :   NZ New ,    This month ,    This month ,"$7,800", Reserve not met ,https://www.trademe.co.nz/a/motors/cars/mazda/cx-7/listing/3231651059?rsqid=549c23b02fda4972bdc93a09cf4bcfa8-001
 2000 Rover Other   Range rover  ,"Christchurch City, Canterbury ","   193,000km ",   RV/SUV ,   5 ,   Petrol ,,   Automatic ,    Red ,, :   Imported ,    Sep 2022 ,    Jul 2022 ,"$7,500", No reserve ,https://www.trademe.co.nz/a/motors/cars/rover/other/listing/3291245084?rsqid=549c23b02fda4972bdc93a09cf4bcfa8-001
 2009 BMW M3   E93 Convertible ,"North Shore, Auckland ","   113,000km ",   Convertible ,   4 ,   Petrol ,,   Tiptronic ,    White ,    2 owners , :   Imported ,    Apr 2022 ,    Apr 2022 ,"$36,980", No reserve ,https://www.trademe.co.nz/a/motors/cars/bmw/m3/listing/3293350976?rsqid=549c23b02fda4972bdc93a09cf4bcfa8-001
 2012 Toyota Highlander   Ltd ,"Upper Hutt City, Wellington ","   95,113km ",   RV/SUV ,   7 ,   Petrol ,,   Automatic ,    Red ,    3 owners , :   NZ New ,    Feb 2022 ,    Feb 2022 ,"$25,000", Reserve not met ,https://www.trademe.co.nz/a/motors/cars/toyota/highlander/listing/3299237314?rsqid=549c23b02fda4972bdc93a09cf4bcfa8-001
 2008 Audi A4   Avant 1.8 Tfsi ,"Kapiti, Wellington ","   125,000km ",   Station Wagon ,   5 ,   Petrol ,,   Automatic ,    Black ,    1 owner , :   Imported ,    Mar 2022 ,    This month ,"$8,000", Reserve not met ,https://www.trademe.co.nz/a/motors/cars/audi/a4/listing/3287701766?rsqid=549c23b02fda4972bdc93a09cf4bcfa8-001
 2001 Toyota Corolla   Runx Z ,"Christchurch City, Canterbury ","   124,000km ",   Hatchback ,   5 ,   Petrol ,,   Automatic ,    White ,    2 owners , :   Imported ,    Feb 2022 ,    Jul 2022 ,"$5,500", Reserve not met ,https://www.trademe.co.nz/a/motors/cars/toyota/corolla/listing/3275999336?rsqid=549c23b02fda4972bdc93a09cf4bcfa8-001
 2010 Holden Colorado   Lt Crw Pu Dsl ,"Waitakere, Auckland ","   284,000km ",   Ute ,   5 ,   Diesel ,,   Manual ,    White ,    2 owners , :   NZ New ,    Nov 2021 ,    Jul 2022 ,"$13,000", No reserve ,https://www.trademe.co.nz/a/motors/cars/holden/colorado/listing/3291004980?rsqid=549c23b02fda4972bdc93a09cf4bcfa8-001
 1957 Dodge Other   Coronet ,"Waitakere, Auckland ","   999,999km ",   Sedan ,   6 ,   Petrol ,,,    Grey ,, :   Imported ,,,"$12,999", No reserve ,https://www.trademe.co.nz/a/motors/cars/dodge/other/listing/3268819247?rsqid=549c23b02fda4972bdc93a09cf4bcfa8-001
 2008 Ford Mustang ,"North Shore, Auckland ","   91,000km ",   Convertible ,,   Petrol ,,   Automatic ,    White ,    1 owner , :   Imported ,    Feb 2022 ,    Apr 2022 ,"$32,000", No reserve ,https://www.trademe.co.nz/a/motors/cars/ford/mustang/listing/3284198587?rsqid=549c23b02fda4972bdc93a09cf4bcfa8-001
 2015 Toyota Vellfire ,"Dunedin, Otago ","   48,000km ",   Station Wagon ,   8 ,   Petrol ,,   Automatic ,    White ,    3 owners , :   Imported ,    Mar 2022 ,    Nov 2021 ,"$35,000", Reserve not met ,https://www.trademe.co.nz/a/motors/cars/toyota/vellfire/listing/3284649292?rsqid=549c23b02fda4972bdc93a09cf4bcfa8-001
 1999 Ford Mondeo ,"Masterton, Wairarapa ","   159,000km ",   Sedan ,   5 ,   Petrol ,,   Manual ,    Blue ,,,,,$500.00, No reserve ,https://www.trademe.co.nz/a/motors/cars/ford/mondeo/listing/3284915461?rsqid=549c23b02fda4972bdc93a09cf4bcfa8-001
 2007 Nissan March   12SR ,"Auckland City, Auckland ","   147,601km ",   Hatchback ,   5 ,   Petrol ,,   Manual ,    Silver ,    2 owners , :   Imported ,    Feb 2022 ,    Jan 2022 ,"$6,600", No reserve ,https://www.trademe.co.nz/a/motors/cars/nissan/march/listing/3284794603?rsqid=7ff24ba8f87e47f0b4c9ba26931be7e9-001
 2005 Subaru Legacy ,"Golden Bay, Nelson Bays ","   188,266km ",   Sedan ,,   Petrol ,,   Automatic ,    Silver ,    3 owners , :   Imported ,    Dec 2021 ,    Jun 2022 ,"$4,400", Reserve not met ,https://www.trademe.co.nz/a/motors/cars/subaru/legacy/listing/3284837382?rsqid=7ff24ba8f87e47f0b4c9ba26931be7e9-001
